855,793,-137
693,714,82
1557,548,267
2758,203,107
1842,310,130
1412,369,176
1988,723,590
2360,817,477
1796,375,413
3272,-47,222
3231,71,397
3356,57,176
2180,442,292
2293,588,485
2879,534,453
2598,-30,242
2107,68,238
2209,135,250
2699,394,296
1982,572,343
2689,589,358
3596,485,266
4083,325,251
4771,393,326
4735,691,570
4550,1080,805
3596,1115,532
2523,796,350
1927,329,251
1700,71,217
706,122,105
-353,203,-56
-554,277,-54
4,228,8
860,165,129
1889,255,291
1428,470,152
453,650,111
62,684,263
595,456,295
991,521,234
2644,836,453
2990,534,385
2488,403,279
1290,219,98
-374,103,-47
-703,105,-43
-712,172,53
-531,218,32
-311,275,13
-990,313,-87
-1348,427,-89
-970,196,8
-740,133,51
-577,137,-28
-1023,143,-74
-1698,241,-131
-1795,240,-63
-1772,293,-100
-1923,239,-151
-2844,189,-215
-4520,222,-291
-4768,325,-326
-4029,270,-205
-5099,-194,-400
-7241,-242,-644
-6802,307,-246
-6798,320,-162
-7325,201,24
-8041,79,-701
-8702,575,-1209
-8348,773,-1022
-8671,630,-819
-8838,355,-723
-9142,355,-891
-8915,209,-962
-8464,-75,-837
-7397,345,-430
-5068,325,-175
-4521,168,78
-5151,305,14
-6214,578,-10
-5804,904,16
-6048,949,152
-6560,1001,97
-6972,1059,89
-6065,1102,85
-4004,1253,147
-4230,1112,210
-4571,840,186
-5726,877,66
-7068,1271,-146
-7943,1878,-334
-5593,1763,-9
-3866,1105,155
-3554,588,64
-4512,622,21
-5159,919,154
-5251,1028,252
-4635,868,480
-4015,542,620
-3966,649,764
-3490,676,676
-3082,653,657
-3900,771,205
-4655,781,151
-5255,800,-35
-4433,1009,142
-4009,929,273
-3337,738,263
-2857,617,352
-2759,465,539
-3424,308,399
-7289,-440,132
-7698,-330,-556
-7702,-77,-1073
-6950,-94,-707
-6960,268,-547
-5742,284,-130
-5966,-16,441
-7403,-43,703
-9089,549,781
-17149,1645,1750
-32768,2909,3416
-25620,-990,368
-7979,315,-1316
-7444,1724,-1238
-6939,1761,-1187
-2433,-779,23
20,-651,502
1542,-110,714
2698,-179,911
1929,-401,633
852,-557,181
-2744,-723,-435
-5518,-631,-771
-7645,-650,-1216
-4862,-855,-1328
-2719,-601,-1138
-3207,-301,-1094
-4543,-573,-1290
-3875,-921,-888
-3287,-1224,-504
-3410,-1298,-538
-2949,-1286,-689
-2491,-1104,-881
-2694,-816,-989
-2137,-1370,-1087
-2211,-2125,-1196
-2223,-3096,-1186
-156,-3742,-945
1541,-3741,-775
1953,-2997,-631
730,-2884,-1004
-63,-2813,-1032
-503,-3795,-851
1356,-4323,-413
867,-4607,-399
237,-5622,-421
427,-6464,-149
605,-7400,-79
2074,-7838,52
-326,-7672,-177
-193,-8104,-420
715,-8727,-346
2604,-8961,-37
631,-8467,-137
-1223,-8225,-1
164,-8014,-114
1262,-7666,-14
620,-7758,-21
